,image_id,cancer
751,ISIC_0010180,0.0
1941,ISIC_0014850,0.0
522,ISIC_0005555,0.0
1449,ISIC_0013316,0.0
811,ISIC_0010340,0.0
961,ISIC_0011145,0.0
1399,ISIC_0013178,0.0
1567,ISIC_0013685,0.0
1801,ISIC_0014516,0.0
1884,ISIC_0014715,0.0
1618,ISIC_0013830,0.0
1402,ISIC_0013187,0.0
406,ISIC_0000503,0.0
1807,ISIC_0014529,0.0
1743,ISIC_0014272,0.0
625,ISIC_0009919,0.0
1659,ISIC_0013971,0.0
1002,ISIC_0011230,0.0
64,ISIC_0000068,0.0
1996,ISIC_0015233,0.0
1460,ISIC_0013346,0.0
1644,ISIC_0013922,0.0
553,ISIC_0008294,0.0
