,WorkerId,SubmitTime,WorkTimeInSeconds,LifetimeApprovalRate,anchor_id,anchor_label,image2,Input.image2_label,image3,Input.image3_label,answer,howMuch,Oracle_answer,Oracle_howMuch,Correct,WrongNo,ImpossibleNo
27,A1TW2BZRRS874Z,Mon Nov 22 03:54:27 PST 2021,105.0,100% (11/11),ISIC_0010317,0.0,ISIC_2606720,0.0,ISIC_3957034,0.0,A,neutral,A,very confident,Correct,0.0,1.0
28,A1F1QHAACQSB9E,Mon Nov 22 03:54:27 PST 2021,99.0,0% (0/0),ISIC_0002975,0.0,ISIC_4842587,1.0,ISIC_7641395,0.0,B,confident,B,very confident,Correct,0.0,1.0
29,A2H1RXUC8XNNIW,Mon Nov 22 03:54:28 PST 2021,101.0,0% (0/0),ISIC_0010317,0.0,ISIC_2606720,0.0,ISIC_3957034,0.0,A,confident,A,very confident,Correct,0.0,1.0
33,A1TW2BZRRS874Z,Mon Nov 22 03:54:35 PST 2021,112.0,100% (11/11),ISIC_0011333,0.0,ISIC_3834379,0.0,ISIC_0718586,0.0,A,confident,A,very confident,Correct,0.0,1.0
35,A1F1QHAACQSB9E,Mon Nov 22 03:54:40 PST 2021,112.0,0% (0/0),ISIC_0000026,1.0,ISIC_1589997,1.0,ISIC_7312977,1.0,B,neutral,A,very confident,Correct,0.0,1.0
39,A2H1RXUC8XNNIW,Mon Nov 22 03:54:46 PST 2021,115.0,0% (0/0),ISIC_0010241,1.0,ISIC_2979268,1.0,ISIC_0751846,0.0,A,neutral,A,very confident,Correct,0.0,1.0
40,A2FJMUOKON4OCQ,Mon Nov 22 03:54:49 PST 2021,120.0,0% (0/0),ISIC_0000026,1.0,ISIC_1589997,1.0,ISIC_7312977,1.0,B,confident,A,very confident,Correct,0.0,1.0
42,A2H1RXUC8XNNIW,Mon Nov 22 03:54:54 PST 2021,121.0,0% (0/0),ISIC_0013845,1.0,ISIC_2609984,1.0,ISIC_6695831,1.0,A,confident,A,very confident,Correct,0.0,1.0
44,A3PBA2ZHVZFGA3,Mon Nov 22 03:54:57 PST 2021,119.0,0% (0/0),ISIC_0013056,0.0,ISIC_9609907,0.0,ISIC_7960321,1.0,A,confident,A,very confident,Correct,0.0,1.0
48,A2H1RXUC8XNNIW,Mon Nov 22 03:55:04 PST 2021,128.0,0% (0/0),ISIC_0011158,1.0,ISIC_1759817,0.0,ISIC_9268487,1.0,B,confident,B,very confident,Correct,0.0,1.0
50,A1TW2BZRRS874Z,Mon Nov 22 03:55:10 PST 2021,137.0,100% (11/11),ISIC_0010000,1.0,ISIC_4960802,1.0,ISIC_1819071,0.0,A,neutral,A,very confident,Correct,0.0,1.0
51,A3J9WEQVUIML4P,Mon Nov 22 03:55:11 PST 2021,139.0,0% (0/0),ISIC_0013088,0.0,ISIC_8397285,1.0,ISIC_0572205,1.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
52,A2H1RXUC8XNNIW,Mon Nov 22 03:55:15 PST 2021,137.0,0% (0/0),ISIC_0001126,1.0,ISIC_4163686,1.0,ISIC_1554893,0.0,A,neutral,A,very confident,Correct,0.0,1.0
54,A2VT4O0U9D9LT5,Mon Nov 22 03:55:20 PST 2021,147.0,0% (0/0),ISIC_0014501,1.0,ISIC_9770677,1.0,ISIC_4954969,0.0,A,neutral,A,very confident,Correct,0.0,1.0
55,A1TW2BZRRS874Z,Mon Nov 22 03:55:22 PST 2021,145.0,100% (11/11),ISIC_0013181,0.0,ISIC_9870885,1.0,ISIC_2844539,1.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
57,A3J9WEQVUIML4P,Mon Nov 22 03:55:27 PST 2021,154.0,0% (0/0),ISIC_0010241,1.0,ISIC_2979268,1.0,ISIC_0751846,0.0,A,confident,A,very confident,Correct,0.0,1.0
58,A1TW2BZRRS874Z,Mon Nov 22 03:55:29 PST 2021,151.0,100% (11/11),ISIC_0010317,0.0,ISIC_5768602,0.0,ISIC_5747709,0.0,A,confident,A,very confident,Correct,0.0,1.0
60,A2VT4O0U9D9LT5,Mon Nov 22 03:55:38 PST 2021,164.0,0% (0/0),ISIC_0001126,1.0,ISIC_4163686,1.0,ISIC_1554893,0.0,B,neutral,A,very confident,Wrong,1.0,0.0
61,A3J9WEQVUIML4P,Mon Nov 22 03:55:39 PST 2021,165.0,0% (0/0),ISIC_0011130,1.0,ISIC_7418664,0.0,ISIC_1752943,1.0,B,confident,B,very confident,Correct,0.0,1.0
62,A1TW2BZRRS874Z,Mon Nov 22 03:55:39 PST 2021,147.0,100% (11/11),ISIC_0013840,1.0,ISIC_1415237,0.0,ISIC_9754098,1.0,B,neutral,B,very confident,Correct,0.0,1.0
64,A2VT4O0U9D9LT5,Mon Nov 22 03:55:52 PST 2021,176.0,0% (0/0),ISIC_0000143,1.0,ISIC_1083392,0.0,ISIC_0914168,1.0,A,confident,B,very confident,Wrong,1.0,0.0
67,ALS4ARR5D4BEC,Mon Nov 22 03:56:00 PST 2021,181.0,0% (0/0),ISIC_0000003,0.0,ISIC_5434661,1.0,ISIC_9286292,1.0,B,neutral,B,very uncertain,Impossible_triplet,0.0,1.0
